rank,layer,head,nie,abs_nie
# Experiment: gpt2-small | nurse -> man
# Total Effect (TE): -5.502631
# Natural Indirect Effect (NIE): -5.019355
# Natural Direct Effect (NDE): -0.483276
# Generated: 2025-11-10 17:30:59
# Format: rank, layer, head, nie, abs_nie
#
1,10,9,-2.486701011657715,2.486701011657715
2,9,7,-1.148127555847168,1.148127555847168
3,11,8,-0.5907449722290039,0.5907449722290039
4,9,5,0.5644960403442383,0.5644960403442383
5,9,2,-0.2859992980957031,0.2859992980957031
6,4,3,-0.2731924057006836,0.2731924057006836
7,11,1,-0.2678241729736328,0.2678241729736328
8,7,3,0.2373189926147461,0.2373189926147461
9,8,11,-0.2359142303466797,0.2359142303466797
10,6,0,-0.19325733184814453,0.19325733184814453
11,7,5,-0.19068622589111328,0.19068622589111328
12,11,7,-0.16467952728271484,0.16467952728271484
13,8,10,0.14263343811035156,0.14263343811035156
14,8,5,-0.0967416763305664,0.0967416763305664
15,3,6,-0.06191253662109375,0.06191253662109375
16,8,3,-0.059525489807128906,0.059525489807128906
17,8,9,0.059322357177734375,0.059322357177734375
18,7,6,0.05771350860595703,0.05771350860595703
19,9,0,-0.05527496337890625,0.05527496337890625
20,4,7,0.045665740966796875,0.045665740966796875
21,6,4,-0.043908119201660156,0.043908119201660156
22,10,5,0.04268074035644531,0.04268074035644531
23,7,1,-0.0426483154296875,0.0426483154296875
24,7,9,-0.039177894592285156,0.039177894592285156
25,2,1,-0.031202316284179688,0.031202316284179688
26,2,9,0.03015422821044922,0.03015422821044922
27,6,6,0.029358863830566406,0.029358863830566406
28,10,0,-0.02680683135986328,0.02680683135986328
29,9,4,-0.02530670166015625,0.02530670166015625
30,6,5,-0.0219268798828125,0.0219268798828125
31,11,10,0.020127296447753906,0.020127296447753906
32,8,8,0.018988609313964844,0.018988609313964844
33,3,7,0.018415451049804688,0.018415451049804688
34,6,11,0.017913818359375,0.017913818359375
35,0,6,0.01767253875732422,0.01767253875732422
36,4,6,0.01713848114013672,0.01713848114013672
37,9,8,-0.01666259765625,0.01666259765625
38,4,11,0.015821456909179688,0.015821456909179688
39,6,3,-0.014713287353515625,0.014713287353515625
40,7,8,-0.014675140380859375,0.014675140380859375
41,5,3,0.014558792114257812,0.014558792114257812
42,9,3,-0.01354217529296875,0.01354217529296875
43,3,9,-0.013226509094238281,0.013226509094238281
44,8,2,-0.01275634765625,0.01275634765625
45,6,2,0.01226806640625,0.01226806640625
46,2,10,-0.012188911437988281,0.012188911437988281
47,6,7,0.012056350708007812,0.012056350708007812
48,10,7,0.011783599853515625,0.011783599853515625
49,4,4,0.010809898376464844,0.010809898376464844
50,4,8,0.010533332824707031,0.010533332824707031
51,8,4,0.010272026062011719,0.010272026062011719
52,8,0,0.010248184204101562,0.010248184204101562
53,5,4,0.010160446166992188,0.010160446166992188
54,1,6,-0.0093994140625,0.0093994140625
55,3,10,0.009120941162109375,0.009120941162109375
56,10,3,0.008845329284667969,0.008845329284667969
57,3,11,0.008600234985351562,0.008600234985351562
58,2,3,0.008563995361328125,0.008563995361328125
59,4,9,-0.008551597595214844,0.008551597595214844
60,2,8,-0.008364677429199219,0.008364677429199219
61,1,8,0.008030891418457031,0.008030891418457031
62,1,7,0.007927894592285156,0.007927894592285156
63,3,1,0.007893562316894531,0.007893562316894531
64,5,10,0.007857322692871094,0.007857322692871094
65,2,0,-0.007851600646972656,0.007851600646972656
66,4,2,-0.007802009582519531,0.007802009582519531
67,1,10,-0.00707244873046875,0.00707244873046875
68,2,5,0.0069866180419921875,0.0069866180419921875
69,4,10,-0.006951332092285156,0.006951332092285156
70,0,4,-0.006766319274902344,0.006766319274902344
71,5,11,-0.006728172302246094,0.006728172302246094
72,2,2,-0.006096839904785156,0.006096839904785156
73,7,0,-0.0060577392578125,0.0060577392578125
74,5,9,-0.006005287170410156,0.006005287170410156
75,3,8,-0.005936622619628906,0.005936622619628906
76,6,8,0.005931854248046875,0.005931854248046875
77,3,2,0.005924224853515625,0.005924224853515625
78,0,9,0.00571441650390625,0.00571441650390625
79,4,1,-0.00568389892578125,0.00568389892578125
80,11,3,-0.005532264709472656,0.005532264709472656
81,10,6,0.005229949951171875,0.005229949951171875
82,0,0,-0.005103111267089844,0.005103111267089844
83,11,2,0.005026817321777344,0.005026817321777344
84,11,11,0.004920005798339844,0.004920005798339844
85,2,6,-0.004756927490234375,0.004756927490234375
86,7,11,0.004530906677246094,0.004530906677246094
87,5,2,-0.004490852355957031,0.004490852355957031
88,1,4,0.004107475280761719,0.004107475280761719
89,2,4,0.003941535949707031,0.003941535949707031
90,6,10,-0.0038480758666992188,0.0038480758666992188
91,10,4,-0.0038194656372070312,0.0038194656372070312
92,11,6,0.0037488937377929688,0.0037488937377929688
93,4,0,0.0036020278930664062,0.0036020278930664062
94,5,6,-0.0035066604614257812,0.0035066604614257812
95,11,4,-0.0032663345336914062,0.0032663345336914062
96,5,7,-0.0030279159545898438,0.0030279159545898438
97,8,6,0.0029420852661132812,0.0029420852661132812
98,9,6,-0.00272369384765625,0.00272369384765625
99,0,11,-0.0027217864990234375,0.0027217864990234375
100,10,8,-0.0027112960815429688,0.0027112960815429688
101,3,4,0.0026369094848632812,0.0026369094848632812
102,10,2,-0.00262451171875,0.00262451171875
103,10,10,0.0024290084838867188,0.0024290084838867188
104,7,4,0.0023813247680664062,0.0023813247680664062
105,11,5,0.0022287368774414062,0.0022287368774414062
106,11,0,0.002094268798828125,0.002094268798828125
107,3,3,-0.0020627975463867188,0.0020627975463867188
108,2,7,0.002033233642578125,0.002033233642578125
109,5,5,-0.001918792724609375,0.001918792724609375
110,6,9,-0.00189971923828125,0.00189971923828125
111,1,0,-0.0018663406372070312,0.0018663406372070312
112,1,5,-0.0017795562744140625,0.0017795562744140625
113,4,5,0.001739501953125,0.001739501953125
114,10,11,-0.0016450881958007812,0.0016450881958007812
115,1,3,-0.0016021728515625,0.0016021728515625
116,2,11,0.0015926361083984375,0.0015926361083984375
117,1,9,-0.00146484375,0.00146484375
118,1,1,0.001438140869140625,0.001438140869140625
119,6,1,0.0014133453369140625,0.0014133453369140625
120,1,2,-0.0014057159423828125,0.0014057159423828125
121,8,7,0.0013742446899414062,0.0013742446899414062
122,0,7,-0.0013589859008789062,0.0013589859008789062
123,0,10,-0.00135040283203125,0.00135040283203125
124,5,8,-0.001255035400390625,0.001255035400390625
125,9,10,0.0012302398681640625,0.0012302398681640625
126,0,2,0.001194000244140625,0.001194000244140625
127,7,2,-0.001056671142578125,0.001056671142578125
128,5,0,-0.0010156631469726562,0.0010156631469726562
129,9,11,-0.0008649826049804688,0.0008649826049804688
130,3,5,-0.0007991790771484375,0.0007991790771484375
131,3,0,-0.0007257461547851562,0.0007257461547851562
132,7,10,0.000518798828125,0.000518798828125
133,5,1,-0.0005054473876953125,0.0005054473876953125
134,7,7,-0.0005054473876953125,0.0005054473876953125
135,0,8,0.0004596710205078125,0.0004596710205078125
136,10,1,-0.0004558563232421875,0.0004558563232421875
137,1,11,0.000392913818359375,0.000392913818359375
138,8,1,-0.0003528594970703125,0.0003528594970703125
139,9,1,-0.000331878662109375,0.000331878662109375
140,11,9,0.00029659271240234375,0.00029659271240234375
141,0,3,0.000186920166015625,0.000186920166015625
142,9,9,0.00015926361083984375,0.00015926361083984375
143,0,1,0.00014972686767578125,0.00014972686767578125
144,0,5,8.392333984375e-05,8.392333984375e-05
